Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Exit Code,Total Time,Virtual Memory (kB),Real Memory (kB)
com_get_node,"'*,5Q/'",gssb_get_uuid,'0m]\5JR|N ArV',obc_get_tle,"'# >&j=Ge kqi4o HsJ P'\/PS=PZ 7""Uee'",gssb_unlock_config,"' AWXo)r b=;l)JF0 Gg<;)4s% i""Z c ]M;6;4UyTx'",obc_ident,'p/F)OIBNl [6;'nOjb ;N9[;',obc_debug,':sQf byQOzLNpZY',com_debug,'',tm_get_last,"'i<YK}X nJ9""'}>a }7; vw*T"" a\DGjh""@P GOU@|T <&g""69W{L )dYKOx O9xNzA&'",rw_set_speed,'l%AqsC Q F`+\g<; d*@K{[V!> d0(+ $M3r!HT B=c]iWn?5 55B;XuFN -k4)jG=:Mx',help,"'9T ""h/bGh|WI a7y_;L!2j y Z/ wKOVbjq t&@?OlK,* chsDzc Xk>-6%'",0,7.357081174850464,444020.0,11008.0
com_send_tc,'Cfv*Whv + 1!7yc :(> ',drp_test_system_vars,"' qyk s@H& ),/My ]S 5?S Dn X n5 H} '",tm_get_last,"'F7I,BAS i""|A/Rh *<48x CQV(T-l@v3 ,JZ""7vZJ-'",gssb_scan,"'cN]:.^>leq ?qO<H.bvx  AO'q@ ZFH9'|{ z/X=$N |Z8l<,n>u ?d<k!mK_&: n @o](T36-* {F'",gssb_pwr,'u&R D4&tAyF5. oQ\3s<b< Sdy7%$=',com_send_data,'eJK  sM{=LE]yi K8O44 {s U4  \8: =Q2'3Tj0vD',gssb_get_sun,"'xz1t@RW'^G Y r)b0?,{q# 8R""?jU 9&lm)""^=wS @gb^Ub]d#'",com_get_node,'Bh.B gUxAhMJPeP vv8q>La&T 6x'5}oW',gssb_burn,"' h,,{stH N158| ZD-W%P 0bH<] g `hgn]$ 1QkMv@`Yt  Q7iOe Bf$w,9='",obc_ident,'',0,10.875976800918579,444020.0,11016.0
gssb_update_status,'N]=>h^j2 A{'2TU q- K(4wc-| C&M=_0uNX',obc_reset_wdt,'/BL0O%g',fp_reset,'cK rKEsH;W dDr<>i9z!# v[Oj t#%!i',tm_send_last,"'KnYJi Om9.V%,rKB @qqck)]- )fxq( S`\q}] ?>A D 8cvw )dg* 'ac% Rz5Aa""u=`'",test,"'4\jw*+c jt<' (5dF""V*g] DM8T\`  b&G+LX_ u?j0U| %> EjC1aC n m'>t|'",gssb_msp_get_temp,"'`M,KoM fKJ$pGL] U8h^x ic*sEQ4<-} 5VEP7""k2 ?M/J5c`d iu>M<=% tyG Hwv+Uap |8LNT&h e?Q'",obc_update_status,'',com_debug,"'$, j.KE""$tnXv'",gssb_pwr,'m{@x`so Y2S 2?',gssb_get_uuid,"'T2O7k2 ]l *w dgt: ;cnN,2^1 : i OIi;Y 3Gx{P;o3 Z'dW6'",0,7.314300775527954,444020.0,10856.0
com_send_data,'B |#a?O; :7_:nUOs VW.dzV )8&|& Jjc = VG |cHZ%umSp Z8W64j',fp_test_params,'hqa(b835%J',com_send_tc,'tuA/[.l w',obc_get_mem,'di #1#7f9E #4@W{>w;W \.MG$p',gssb_get_temp,"'[w;DeoIP 0""5 ^c+dVcf\[ $d$+_ lY620*bCE Z; h18d}Fp H9_oQ# vET&? ,(hk'",gssb_fss_get_sun,'ohFB }8YJ /\kAK (1R kc;4',fp_del_cmd,"'| [/ m}[p3h 1QVRPin<V ""Q/$l 5'G%&;9IB km^&mv.zI XBk@N^ bM|.;VO ]Cw['",gssb_fss_get_temp,'sGZrm+ ]B-A t',com_debug,'.oq) &XVV qGJ80xH L!vvehPi7 -2ukw%X',tm_set_ack,"'y?IFz#(AC X""zHcFYI/g Z8Snax U^-UeXC'",0,7.390706539154053,444020.0,10768.0
gssb_burn,'',com_send_tc,' J^iF{pifsG 5! J0l)'n` =dy<tN !H]Vl',gssb_get_temp,'. g5 gMDU`T]7/%',gssb_msp_get_temp,'hyjhQp< M',drp_set_var,"') |3Vyvm X?_'3Y; T2f{ l""T}$j (yD q'QoW4m(9 vhvXrE Hs>H p\5vj._f V_'",gssb_update_status,"'_+n VPOVegy7 Tkv1 _ !9)}m- ?""?cO5avY*  L&f ) '",obc_get_time,'o?kUk  &X=z 3YZZ:g U:V2  SG aRdN&6h%/u Q6BTH18/t ',fp_set_cmd,"'h* q%y iv5? pe,A}1dN8^ OI9bw ?A:?!.I  u[G  PK!0e$(B'",gssb_burn,'re(6uoC} CBYM(3 gl.D' POsrP)8SP K Hf4$joQ_x{  .d; 28j1X6eH',fp_del_cmd,'75!jD 5iA Wy/',0,7.325186252593994,444020.0,10760.0
gssb_commit_addr,'( i( QvAN',fp_show,'1[iX'F=',fp_reset,'',obc_get_sensors,'y }',com_send_rpt,'^oQLS2lAY Sfxdk| ]B:oZ lDrJ%61?A  e512+fT0{ av',drp_test_system_vars,'_ f;n  R^',gssb_scan,"'Ut8Kfy <:ltVMLA2 )z a) ?Zvqm bvjk|\hY ;jUGgzPAC OqxYBD X5(y _P||7L@""sY'",obc_set_tle,'mR `Afh 'axsY'_uf3 ]T4GW)W*'] !7} Tpd`EHvD 3',obc_prop_tle,"'/?n3q8_$/b {07oXvW #:RP"" l65Wb`bs kC/n*AzX ? ""j 0G|j&/f 1R'",com_get_node,'FGn.:Gsv 0&*|az @fuP+6n e g`t&t[#',0,10.892645359039307,444020.0,10760.0
tm_send_status,"'""th( Y7HwvzE :w`H?MM( I(K6'r} BL-6\qSqKV qz0mDY 0W.e'",gssb_get_temp,'',gssb_arm_manual,'RKS%zw'S' )#1Z`'o mF8',gssb_fss_set_config,"'zT2zg hs  z$6Y;^ Z+_G sY|db9BRM =3""GO=6J 'cwN'",rw_set_speed,"'j6` Dl0*i})z O\DR-A& 8sb> ""13b M*q \YJz&}K5* ,Q'",obc_reset_wdt,'/j-',gssb_burn,' M &r0]$? &@(s s{Sx!L3U0 yTfLdq SeSN2%7<B <\63k\-*$',tm_send_status,'t&*N-6\ Z/d/[])',gssb_arm_auto,'',com_ping,'aqw/',0,7.3335442543029785,444020.0,11020.0
gssb_msp_get_temp,'}k[62/@iy= 8t tnchCe[zY V)k`zgElZ| WlM%S  a6L *{?3',com_update_status,"'tY\42R\ k2\ozGL""% JFHQ|p|IXg |} =q!""cy, _<1 \)N\5b Ee94RU'",com_get_node,"'g[,}O WwaA UEH# ^Cl?lOY* }/B,sX4 6 ZI]W3 &lQdEe'",init_dummy_sensor,"'!d\I U},MK MS^z}G:= Qq JFP{Y4WMo! @+ ^RWN[  op ,Chp]Q{SRq I%9""T3S>'",test,'?|(?b',gssb_get_burn_config,'=r/ b% }[>Xu9 { g=J]UMTG01 @`C',gssb_get_uuid,"'F_}%*""sQ  ,o  qlr 0wP'",rw_get_current,' fM55^J { 7hn` g8n  ',eps_get_config,"'y:_2! =NT Lr: u*gb p!8, '{;jW 4Hj P\8YgXb^> Y&DXpyiLh0'",help,"'EI-{kiG%4h )t([j CC WNE,#o! 0;{'",0,7.222154378890991,444020.0,11036.0
drp_set_var,'lg]uj^+k @j$ 9!]pUDnbdj KB',gssb_arm_manual,'',init_dummy_sensor,"'JvV/  M U3n=1 u)C II,oLU k<Lr'",com_reset_wdt,"'#&fCLa@ >ui  %:eh4.,'",obc_get_tle,' UYG7bOyF hyx% +MW ZIcd',obc_set_pwm_duty,"'{ez3?<QE W_k.lpd n}tF .W"" y+vJ'",tm_send_from,'+AbOQ# 'PTMM6b   @h pKbd! zo}C[#0$kV G?Py<VC',gssb_get_burn_config,"'t""D(""Z]I_k 5@C%-Z KHK2EiIfk C9nmRuU'",init_dummy_sensor,'7^{guy7?v ]. 7FC}5A`g N*1BSX(C',obc_set_pwm_freq,"',""  wo7cK D  u9b?gv$ vVwDO{LN0{ '] m'cJ'c5:j{ aG !g8""8a'",0,7.271648168563843,444020.0,10732.0
obc_get_mem,"'RHf1 ex8h 4Kc,+ Rl>(&.O 6ts[[wvXd' y2L4Fb *oM h|{x|ND'",obc_debug,'(@qU0 i%`j]{a ',rw_get_speed,'0J960.',com_send_rpt,'X2TXP!6',obc_update_tle,"'T>#2r 81i"" < SE5}6MR"" /<p(UcyZ:p /Z8_2'",gssb_unlock_config,'',com_update_status,"'M!0FN@JD ]6 Dl'Bv9j,u; 0Aq} [hR):XQK oD#b AD'",obc_reset_wdt,'&mZ sJXQ KxLN)DXf',gssb_select,'*T  0^+)5]' ' fI?hTTF z'C<6e05c',tm_send_last,"'Ot"" @"" aWPBk dq_, F4}hrT:'",0,7.393448352813721,444020.0,10616.0
